"name";"gender";"birthDate";"birthCity";"birthCountry";"birthContinent";"awardYear";"category";"awardDate";"motivation";"prizeAmount";"prizeAmountAdjusted"
"A. Michael Spence";"male";"1943-11-07";"Montclair, NJ";"USA";"North America";"2001";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2001-10-10";"for their analyses of markets with asymmetric information";10000000;12518033
"Aage N. Bohr";"male";"1922-06-19";"Copenhagen";"Denmark";"Europe";"1975";"The Nobel Prize in Physics";"1975-10-17";"for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection";630000;3465908
"Aaron Ciechanover";"male";"1947-10-01";"Haifa";"British Protectorate of Palestine";"Asia";"2004";"The Nobel Prize in Chemistry";"2004-10-06";"for the discovery of ubiquitin-mediated protein degradation";10000000;11976161
"Aaron Klug";"male";"1926-08-11";"Zelvas";"Lithuania";"Europe";"1982";"The Nobel Prize in Chemistry";"1982-10-18";"for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes";1150000;3158777
"Abdulrazak Gurnah";"male";"1948-00-00";NA;NA;NA;"2021";"The Nobel Prize in Literature";"2021-10-07";"for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents";10000000;10000000
"Abdus Salam";"male";"1926-01-29";"Jhang Maghiāna";"India";"Asia";"1979";"The Nobel Prize in Physics";"1979-10-15";"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current";800000;3042231
"Abhijit Banerjee";"male";"1961-02-21";"Mumbai";"India";"Asia";"2019";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2019-10-14";"for their experimental approach to alleviating global poverty";9000000;9000000
"Abiy Ahmed Ali";"male";"1976-08-15";"Beshasha";"Ethiopia";"Africa";"2019";"The Nobel Peace Prize";"2019-10-11";"for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea";9000000;9000000
"Ada E. Yonath";"female";"1939-06-22";"Jerusalem";"British Mandate of Palestine";"Asia";"2009";"The Nobel Prize in Chemistry";"2009-10-07";"for studies of the structure and function of the ribosome";10000000;11157218
"Adam G. Riess";"male";"1969-12-16";"Washington, DC";"USA";"North America";"2011";"The Nobel Prize in Physics";"2011-10-04";"for the discovery of the accelerating expansion of the Universe through observations of distant supernovae";10000000;10736783
"Adolf Butenandt";"male";"1903-03-24";"Bremerhaven-Lehe";"Germany";"Europe";"1939";"The Nobel Prize in Chemistry";NA;"for his work on sex hormones";148822;4304564
"Adolf von Baeyer";"male";"1835-10-31";"Berlin";"Prussia";"Europe";"1905";"The Nobel Prize in Chemistry";NA;"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds";138089;7753291
"Adolf Windaus";"male";"1876-12-25";"Berlin";"Germany";"Europe";"1928";"The Nobel Prize in Chemistry";NA;"for the services rendered through his research into the constitution of the sterols and their connection with the vitamins";156939;4539342
"Adolfo Pérez Esquivel";"male";"1931-11-26";"Buenos Aires";"Argentina";"South America";"1980";"The Nobel Peace Prize";"1980-10-27";"for being a source of inspiration to repressed people, especially in Latin America";880000;2942067
"Ahmed Zewail";"male";"1946-02-26";"Damanhur";"Egypt";"Africa";"1999";"The Nobel Prize in Chemistry";"1999-10-12";"for his studies of the transition states of chemical reactions using femtosecond spectroscopy";7900000;10231411
"Akira Suzuki";"male";"1930-09-12";"Mukawa";"Japan";"Asia";"2010";"The Nobel Prize in Chemistry";"2010-10-06";"for palladium-catalyzed cross couplings in organic synthesis";10000000;11015580
"Akira Yoshino";"male";"1948-01-30";"Suita";"Japan";"Asia";"2019";"The Nobel Prize in Chemistry";"2019-10-09";"for the development of lithium-ion batteries";9000000;9000000
"Al Gore";"male";"1948-03-31";"Washington, DC";"USA";"North America";"2007";"The Nobel Peace Prize";"2007-10-12";"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change";10000000;11506932
"Alan Heeger";"male";"1936-01-22";"Sioux City, IA";"USA";"North America";"2000";"The Nobel Prize in Chemistry";"2000-10-10";"for the discovery and development of conductive polymers";9000000;11538617
"Alan Hodgkin";"male";"1914-02-05";"Banbury";"United Kingdom";"Europe";"1963";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane";265000;2890771
"Alan MacDiarmid";"male";"1927-04-14";"Masterton";"New Zealand";"Oceania";"2000";"The Nobel Prize in Chemistry";"2000-10-10";"for the discovery and development of conductive polymers";9000000;11538617
"Albert A. Michelson";"male";"1852-12-19";"Strelno";"Prussia";"Europe";"1907";"The Nobel Prize in Physics";NA;"for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid";138796;7161123
"Albert Camus";"male";"1913-11-07";"Mondovi";"French Algeria";"Africa";"1957";"The Nobel Prize in Literature";NA;"for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times";208629;2746709
"Albert Claude";"male";"1898-08-24";"Longlier";"Belgium";"Europe";"1974";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning the structural and functional organization of the cell";550000;3322627
"Albert Einstein";"male";"1879-03-14";"Ulm";"Germany";"Europe";"1921";"The Nobel Prize in Physics";NA;"for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect";121573;2578698
"Albert Fert";"male";"1938-03-07";"Carcassonne";"France";"Europe";"2007";"The Nobel Prize in Physics";"2007-10-09";"for the discovery of Giant Magnetoresistance";10000000;11506932
"Albert Gobat";"male";"1843-05-21";"Tramelan";"Switzerland";"Europe";"1902";"The Nobel Peace Prize";"1902-12-10";"for his eminently practical administration of the Inter-Parliamentary Union";141847;8205634
"Albert Luthuli";"male";"1898-00-00";"Bulawayo";"Southern Rhodesia";"Africa";"1960";"The Nobel Peace Prize";"1961-10-23";"for his non-violent struggle against apartheid";225987;2713265
"Albert Schweitzer";"male";"1875-01-14";"Kaysersberg";"Germany";"Europe";"1952";"The Nobel Peace Prize";"1953-10-30";"for his altruism, reverence for life, and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one";171135;2592831
"Albert Szent-Györgyi";"male";"1893-09-16";"Budapest";"Austria-Hungary";"Europe";"1937";"The Nobel Prize in Physiology or Medicine";NA;"for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid";158463;4801680
"Albrecht Kossel";"male";"1853-09-16";"Rostock";"Mecklenburg";"Europe";"1910";"The Nobel Prize in Physiology or Medicine";NA;"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances";140703;7259514
"Aleksandr M. Prokhorov";"male";"1916-07-11";"Atherton";"Australia";"Oceania";"1964";"The Nobel Prize in Physics";NA;"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle";273000;2879320
"Alexandr Solzhenitsyn";"male";"1918-12-11";"Kislovodsk";"Russia";"Europe";"1970";"The Nobel Prize in Literature";"1970-10-08";"for the ethical force with which he has pursued the indispensable traditions of Russian literature";400000;3235593
"Alexei Abrikosov";"male";"1928-06-25";"Moscow";"USSR";"Europe";"2003";"The Nobel Prize in Physics";"2003-10-07";"for pioneering contributions to the theory of superconductors and superfluids";10000000;12021411
"Alexis Carrel";"male";"1873-06-28";"Sainte-Foy-lès-Lyon";"France";"Europe";"1912";"The Nobel Prize in Physiology or Medicine";NA;"in recognition of his work on vascular suture and the transplantation of blood vessels and organs";140476;6876120
"Alfonso García Robles";"male";"1911-03-20";"Zamora";"Mexico";"North America";"1982";"The Nobel Peace Prize";"1982-10-13";"for their work for disarmament and nuclear and weapon-free zones";1150000;3158777
"Alfred D. Hershey";"male";"1908-12-04";"Owosso, MI";"USA";"North America";"1969";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning the replication mechanism and the genetic structure of viruses";375000;3239253
"Alfred Fried";"male";"1864-11-11";"Vienna";"Austria";"Europe";"1911";"The Nobel Peace Prize";"1911-12-10";"for his effort to expose and fight what he considers to be the main cause of war, namely, the anarchy in international relations";140695;7460743
"Alfred G. Gilman";"male";"1941-07-01";"New Haven, CT";"USA";"North America";"1994";"The Nobel Prize in Physiology or Medicine";"1994-10-10";"for their discovery of G-proteins and the role of these proteins in signal transduction in cells";7000000;9417195
"Alfred Kastler";"male";"1902-05-03";"Guebwiller";"Germany";"Europe";"1966";"The Nobel Prize in Physics";NA;"for the discovery and development of optical methods for studying Hertzian resonances in atoms";300000;2835149
"Alfred Werner";"male";"1866-12-12";"Mulhouse";"France";"Europe";"1913";"The Nobel Prize in Chemistry";NA;"in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry";143010;7000156
"Alice Munro";"female";"1931-07-10";"Wingham";"Canada";"North America";"2013";"The Nobel Prize in Literature";"2013-10-10";"master of the contemporary short story";8000000;8517568
"Allan M. Cormack";"male";"1924-02-23";"Johannesburg";"South Africa";"Africa";"1979";"The Nobel Prize in Physiology or Medicine";"1979-10-11";"for the development of computer assisted tomography";800000;3042231
"Allvar Gullstrand";"male";"1862-06-05";"Landskrona";"Sweden";"Europe";"1911";"The Nobel Prize in Physiology or Medicine";NA;"for his work on the dioptrics of the eye";140695;7460743
"Alphonse Laveran";"male";"1845-06-18";"Paris";"France";"Europe";"1907";"The Nobel Prize in Physiology or Medicine";NA;"in recognition of his work on the role played by protozoa in causing diseases";138796;7161123
"Alva Myrdal";"female";"1902-01-31";"Uppsala";"Sweden";"Europe";"1982";"The Nobel Peace Prize";"1982-10-13";"for their work for disarmament and nuclear and weapon-free zones";1150000;3158777
"Alvin E. Roth";"male";"1951-12-18";"New York, NY";"USA";"North America";"2012";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2012-10-15";"for the theory of stable allocations and the practice of market design";8000000;8512821
"Amartya Sen";"male";"1933-11-03";"Santiniketan";"India";"Asia";"1998";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1998-10-14";"for his contributions to welfare economics";7600000;9889843
NA;NA;NA;NA;NA;NA;"1947";"The Nobel Peace Prize";"1947-10-30";"for their pioneering work in the international peace movement and compassionate effort to relieve human suffering, thereby promoting the fraternity between nations";146115;2967378
NA;NA;NA;NA;NA;NA;"1977";"The Nobel Peace Prize";"1977-10-10";"for worldwide respect for human rights";700000;3136854
"Arthur Henderson";"male";"1863-09-13";"Glasgow";"Scotland";"Europe";"1934";"The Nobel Peace Prize";"1934-12-10";"for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34";162608;5261333
"Arthur Kornberg";"male";"1918-03-03";"Brooklyn, NY";"USA";"North America";"1959";"The Nobel Prize in Physiology or Medicine";NA;"for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid";220678;2753427
"Arthur L. Schawlow";"male";"1921-05-05";"Mount Vernon, NY";"USA";"North America";"1981";"The Nobel Prize in Physics";"1981-10-19";"for their contribution to the development of laser spectroscopy";1000000;2982813
"Artturi Virtanen";"male";"1895-01-15";"Helsinki";"Russian Empire";"Europe";"1945";"The Nobel Prize in Chemistry";NA;"for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method";121333;2545326
"Arvid Carlsson";"male";"1923-01-25";"Uppsala";"Sweden";"Europe";"2000";"The Nobel Prize in Physiology or Medicine";"2000-10-09";"for their discoveries concerning signal transduction in the nervous system";9000000;11538617
"August Krogh";"male";"1874-11-15";"Grenå";"Denmark";"Europe";"1920";"The Nobel Prize in Physiology or Medicine";NA;"for his discovery of the capillary motor regulating mechanism";134100;2438066
"Auguste Beernaert";"male";"1829-07-26";"Ostend";"Belgium";"Europe";"1909";"The Nobel Peace Prize";"1909-12-10";"for their prominent position in the international movement for peace and arbitration";139800;7212924
"Aung San Suu Kyi";"female";"1945-06-19";"Rangoon";"Burma";"Asia";"1991";"The Nobel Peace Prize";"1991-10-14";"for her non-violent struggle for democracy and human rights";6000000;8831149
"Avram Hershko";"male";"1937-12-31";"Karcag";"Hungary";"Europe";"2004";"The Nobel Prize in Chemistry";"2004-10-06";"for the discovery of ubiquitin-mediated protein degradation";10000000;11976161
"Aziz Sancar";"male";"1946-09-08";"Savur";"Turkey";"Asia";"2015";"The Nobel Prize in Chemistry";"2015-10-07";"for mechanistic studies of DNA repair";8000000;8536613
"Barack H. Obama";"male";"1961-08-04";"Honolulu, HI";"USA";"North America";"2009";"The Nobel Peace Prize";"2009-10-09";"for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples";10000000;11157218
"Barbara McClintock";"female";"1902-06-16";"Hartford, CT";"USA";"North America";"1983";"The Nobel Prize in Physiology or Medicine";NA;"for her discovery of mobile genetic elements";1500000;3782695
"Barry C. Barish";"male";"1936-01-27";"Omaha, NE";"USA";"North America";"2017";"The Nobel Prize in Physics";"2017-10-03";"for decisive contributions to the LIGO detector and the observation of gravitational waves";9000000;9342577
"Barry J. Marshall";"male";"1951-09-30";"Kalgoorlie";"Australia";"Oceania";"2005";"The Nobel Prize in Physiology or Medicine";"2005-10-03";"for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease";10000000;11923798
