id;name;gender;birthdate;birthcountry;birthcontinent
745;A. Michael Spence;male;1943-00-00;USA;North America
102;Aage N. Bohr;male;1922-06-19;Denmark;Europe
779;Aaron Ciechanover;male;1947-10-01;British Protectorate of Palestine;Asia
259;Aaron Klug;male;1926-08-11;Lithuania;Europe
1004;Abdulrazak Gurnah;male;1948-00-00;NA;NA
114;Abdus Salam;male;1926-01-29;India;Asia
982;Abhijit Banerjee;male;1961-02-21;India;Asia
981;Abiy Ahmed Ali;male;1976-08-15;Ethiopia;Africa
843;Ada E. Yonath;female;1939-06-22;British Mandate of Palestine;Asia
866;Adam G. Riess;male;1969-12-16;USA;North America
199;Adolf Butenandt;male;1903-03-24;Germany;Europe
164;Adolf von Baeyer;male;1835-10-31;Prussia;Europe
185;Adolf Windaus;male;1876-12-25;Germany;Europe
541;Adolfo Pérez Esquivel;male;1931-11-26;Argentina;South America
292;Ahmed Zewail;male;1946-02-26;Egypt;Africa
853;Akira Suzuki;male;1930-09-12;Japan;Asia
978;Akira Yoshino;male;1948-01-30;Japan;Asia
819;Al Gore;male;1948-03-31;USA;North America
729;Alan Heeger;male;1936-01-22;USA;North America
376;Alan Hodgkin;male;1914-02-05;United Kingdom;Europe
730;Alan MacDiarmid;male;1927-04-14;New Zealand;Oceania
11;Albert A. Michelson;male;1852-12-19;Prussia;Europe
628;Albert Camus;male;1913-11-07;French Algeria;Africa
403;Albert Claude;male;1898-08-24;Belgium;Europe
26;Albert Einstein;male;1879-03-14;Germany;Europe
814;Albert Fert;male;1938-03-07;France;Europe
465;Albert Gobat;male;1843-05-21;Switzerland;Europe
519;Albert Luthuli;male;1898-00-00;Southern Rhodesia;Africa
513;Albert Schweitzer;male;1875-01-14;Germany;Europe
332;Albert Szent-Györgyi;male;1893-09-16;Austria-Hungary;Europe
304;Albrecht Kossel;male;1853-09-16;Mecklenburg;Europe
83;Aleksandr M. Prokhorov;male;1916-07-11;Australia;Oceania
644;Alexandr Solzhenitsyn;male;1918-12-11;Russia;Europe
766;Alexei Abrikosov;male;1928-06-25;USSR;Europe
306;Alexis Carrel;male;1873-06-28;France;Europe
544;Alfonso García Robles;male;1911-03-20;Mexico;North America
392;Alfred D. Hershey;male;1908-12-04;USA;North America
479;Alfred Fried;male;1864-11-11;Austria;Europe
450;Alfred G. Gilman;male;1941-07-01;USA;North America
87;Alfred Kastler;male;1902-05-03;Germany;Europe
174;Alfred Werner;male;1866-12-12;France;Europe
892;Alice Munro;female;1931-07-10;Canada;North America
417;Allan M. Cormack;male;1924-02-23;South Africa;Africa
