id;awardyear;category;awarddate;motivation;prizeamount;prizeamountadjusted
745;2001;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;2001-10-10;for their analyses of markets with asymmetric information;10000000;12518033
102;1975;The Nobel Prize in Physics;1975-10-17;for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection;630000;3465908
779;2004;The Nobel Prize in Chemistry;2004-10-06;for the discovery of ubiquitin-mediated protein degradation;10000000;11976161
259;1982;The Nobel Prize in Chemistry;1982-10-18;for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes;1150000;3158777
1004;2021;The Nobel Prize in Literature;2021-10-07;for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents;10000000;10000000
114;1979;The Nobel Prize in Physics;1979-10-15;for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current;800000;3042231
982;2019;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;2019-10-14;for their experimental approach to alleviating global poverty;9000000;9000000
981;2019;The Nobel Peace Prize;2019-10-11;for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea;9000000;9000000
843;2009;The Nobel Prize in Chemistry;2009-10-07;for studies of the structure and function of the ribosome;10000000;11157218
866;2011;The Nobel Prize in Physics;2011-10-04;for the discovery of the accelerating expansion of the Universe through observations of distant supernovae;10000000;10736783
199;1939;The Nobel Prize in Chemistry;NA;for his work on sex hormones;148822;4304564
164;1905;The Nobel Prize in Chemistry;NA;in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds;138089;7753291
185;1928;The Nobel Prize in Chemistry;NA;for the services rendered through his research into the constitution of the sterols and their connection with the vitamins;156939;4539342
541;1980;The Nobel Peace Prize;1980-10-27;for being a source of inspiration to repressed people, especially in Latin America;880000;2942067
292;1999;The Nobel Prize in Chemistry;1999-10-12;for his studies of the transition states of chemical reactions using femtosecond spectroscopy;7900000;10231411
853;2010;The Nobel Prize in Chemistry;2010-10-06;for palladium-catalyzed cross couplings in organic synthesis;10000000;11015580
978;2019;The Nobel Prize in Chemistry;2019-10-09;for the development of lithium-ion batteries;9000000;9000000
819;2007;The Nobel Peace Prize;2007-10-12;for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change;10000000;11506932
729;2000;The Nobel Prize in Chemistry;2000-10-10;for the discovery and development of conductive polymers;9000000;11538617
376;1963;The Nobel Prize in Physiology or Medicine;NA;for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane;265000;2890771
730;2000;The Nobel Prize in Chemistry;2000-10-10;for the discovery and development of conductive polymers;9000000;11538617
11;1907;The Nobel Prize in Physics;NA;for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid;138796;7161123
628;1957;The Nobel Prize in Literature;NA;for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times;208629;2746709
403;1974;The Nobel Prize in Physiology or Medicine;NA;for their discoveries concerning the structural and functional organization of the cell;550000;3322627
26;1921;The Nobel Prize in Physics;NA;for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect;121573;2578698
814;2007;The Nobel Prize in Physics;2007-10-09;for the discovery of Giant Magnetoresistance;10000000;11506932
465;1902;The Nobel Peace Prize;1902-12-10;for his eminently practical administration of the Inter-Parliamentary Union;141847;8205634
519;1960;The Nobel Peace Prize;1961-10-23;for his non-violent struggle against apartheid;225987;2713265
513;1952;The Nobel Peace Prize;1953-10-30;for his altruism, reverence for life, and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one;171135;2592831
332;1937;The Nobel Prize in Physiology or Medicine;NA;for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid;158463;4801680
