database;GPI 2021/05
query;TIAB = ("aged people" OR ageing OR aging OR elder * OR “old people” OR “old person”  OR senile OR senior OR geront*) AND (home OR house) AND (care OR caring OR health OR loneliness OR social OR active * OR training OR autonom * OR wellbeing OR fit* OR personal OR assist * OR behaviour OR behavior)
totalResults;560683
algorithm;cross-reference-1
field1
value;TIME
resolution;YEAR
field2
scope;ALL
value;IPC_SUBCLASS
activeGroupBy;true
type;normal
;A01G;A01K;A47B;B01D;E04B;E04F;E04H;E06B;F21V;F24F;G05B;G06F;G06Q;G08B;H04B;H04L;H04M;H04N;H04Q;H04W
2000;181;82;56;61;403;125;367;109;41;144;32;2477;1449;224;233;561;562;484;571;382
2001;177;92;74;70;416;141;336;116;50;130;39;2032;1235;264;242;717;573;489;607;399
2002;169;100;80;54;357;116;216;109;55;137;46;1210;643;252;219;695;442;371;492;365
2003;170;110;107;69;792;139;234;104;79;184;31;1021;498;252;190;721;410;410;452;361
2004;164;107;77;49;417;116;274;130;65;136;48;764;385;242;165;774;358;380;287;306
2005;201;124;67;77;457;137;312;133;75;175;47;543;380;221;196;815;417;368;220;454
2006;273;126;103;73;505;172;322;143;103;182;64;574;400;220;244;853;403;380;203;569
2007;218;138;87;74;397;132;364;125;131;157;63;485;415;242;247;793;318;307;172;516
2008;237;145;97;70;430;142;366;136;102;128;62;412;345;222;210;573;398;283;135;519
2009;253;164;101;76;377;115;323;134;99;173;86;396;350;245;135;592;284;314;68;831
2010;272;211;99;58;459;175;363;153;127;172;104;429;331;210;118;671;237;306;80;685
2011;329;286;139;65;529;150;471;180;138;148;142;478;369;255;120;622;243;303;76;609
2012;370;441;191;96;521;235;482;291;159;210;250;465;389;316;126;628;273;312;103;620
2013;444;568;167;100;735;234;497;255;138;252;386;484;454;362;157;651;229;305;124;473
2014;461;805;189;132;823;259;510;235;175;286;610;520;550;408;129;793;250;369;134;461
2015;658;1166;339;416;1153;386;666;432;468;449;1287;610;624;568;122;1004;319;474;122;604
2016;880;1747;407;453;1411;408;762;427;577;633;1355;751;873;692;170;1316;363;620;80;690
2017;956;2313;460;760;1708;499;922;551;789;845;1456;840;1026;760;208;1622;357;685;128;904
2018;789;2267;532;605;2044;530;1069;613;771;760;1203;937;1279;750;174;1342;282;596;131;785
2019;388;1770;467;440;2203;601;1085;545;351;633;1031;846;985;592;131;1080;160;425;80;606
