ipc_subclass_detail,records
G06F: Electric Digital Data Processing,81.0
"G01C: Measuring Distances, Levels Or Bearings",14.0
" G06Q: Data Processing Systems Or Methods, Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes",12.0
"G06Q: Data Processing Systems Or Methods, Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes",12.0
 G09B: Educational Or Demonstration Appliances,9.0
 G06F: Electric Digital Data Processing,8.0
 H04W: Wireless Communication Networks,6.0
G10L: Speech Analysis Or Synthesis,6.0
 G09G: Arrangements Or Circuits For Control Of Indicating Devices Using Static Means To Present Variable Information,5.0
 H04B: Transmission,3.0
