database;GPI 2021/05
query;TIAB = ("aged people" OR ageing OR aging OR elder * OR “old people” OR “old person”  OR senile OR senior OR geront*) AND (home OR house) AND (care OR caring OR health OR loneliness OR social OR active * OR training OR autonom * OR wellbeing OR fit* OR personal OR assist * OR behaviour OR behavior)
totalResults;560683
algorithm;cross-reference-1
field1
value;TIME
resolution;YEAR
field2
scope;ALL
value;APPLICANT
activeGroupBy;true
type;normal
;CANON KK;FUJITSU LTD;HITACHI LTD;HUAWEI TECH CO LTD;LG ELECTRONICS INC;MATSUSHITA ELECTRIC IND CO LTD;MATSUSHITA ELECTRIC WORKS LTD;MITSUBISHI ELECTRIC CORP;NEC CORP;RICOH KK;SAMSUNG ELECTRONICS CO LTD;SANYO ELECTRIC CO;SEKISUI CHEMICAL CO LTD;SEKISUI HOUSE KK;SHARP KK;SONY CORP;TOSHIBA CORP;ZTE CORP
2000;54;23;48;2;103;138;82;50;90;24;55;54;61;169;47;68;65;
2001;58;31;75;1;146;184;66;51;79;38;57;65;36;128;41;70;57;
2002;45;40;56;10;198;155;63;41;41;22;58;46;39;51;29;50;55;
2003;28;36;49;13;203;161;45;18;25;27;114;26;40;26;35;68;57;2
2004;33;17;32;34;183;181;50;29;39;31;88;51;28;25;30;51;36;6
2005;33;20;33;70;195;168;79;33;29;18;156;30;17;21;37;30;41;7
2006;15;18;30;127;143;134;79;23;20;16;191;18;10;21;25;37;34;38
2007;18;25;23;134;56;40;41;22;33;15;129;14;8;14;29;41;35;96
2008;19;26;31;115;69;9;4;28;22;20;83;13;3;25;19;37;21;130
2009;22;16;26;123;78; ; ;25;38;1;99;14;8;4;29;30;14;186
2010;11;7;17;54;135; ; ;24;17;1;60;7;10;4;43;24;19;220
2011;8;8;14;68;75;1; ;35;17; ;66;15;7;8;36;21;17;148
2012;5;7;15;57;77; ; ;40;11; ;63;10;5;15;66;13;23;115
2013;14;3;7;43;91; ; ;62;11; ;75;1;2;3;19;11;20;59
2014;16;12;1;42;74; ; ;79;7; ;82;2;8;4;32;12;13;71
2015;12;8;4;36;77; ; ;45;5; ;219;2;4;8;42;8;10;61
2016;4;10;4;21;129; ; ;34;5; ;168;1;7;6;18;11;8;61
2017;10;9; ;28;98; ; ;20;5; ;383;1;5;3;12;20;3;53
2018;13;2;2;28;84; ; ;31;4; ;353;3;8;17;14;12;10;27
2019;9;1;2;47;76; ; ;10;7; ;228;2;1;5;7;3; ;9
