database;GPI 2021/05
query;TIAB = ("aged people" OR ageing OR aging OR elder * OR “old people” OR “old person”  OR senile OR senior OR geront*) AND (home OR house) AND (care OR caring OR health OR loneliness OR social OR active * OR training OR autonom * OR wellbeing OR fit* OR personal OR assist * OR behaviour OR behavior)
totalResults;560683
algorithm;cross-reference-1
field1
value;TIME
resolution;YEAR
field2
scope;ALL
value;COUNTRY_APPLICATION
activeGroupBy;true
type;normal
;AU;CA;CN;DE;EP;ES;FR;GB;HU;IB;IT;JP;KR;MX;NL;RU;SE;TW;UA;US
2000;36;54;464;130;266;66;46;121;8;16;1;4203;1402;4;14;56;31;40;3;805
2001;22;45;800;122;262;72;49;111;8;11;11;3819;1140;14;9;52;22;53;5;1239
2002;33;43;922;164;222;73;37;91;9;26;12;2948;1057;7;9;88;12;40;5;1070
2003;26;68;1742;212;237;83;76;98;7;45;15;2640;975;13;14;72;18;70;17;1095
2004;20;34;1311;210;289;69;97;98;8;34;9;2461;703;11;10;81;20;105;5;1107
2005;32;45;1613;237;269;72;81;97;5;45;15;2278;1292;7;24;74;23;84;16;1198
2006;14;39;2644;216;315;74;92;87;9;54;9;2036;1754;10;13;89;20;89;9;1216
2007;28;55;2550;142;328;63;108;85;6;51;13;1833;1453;8;20;148;21;118;18;1167
2008;20;45;2966;148;334;94;92;91;7;45;11;1672;1318;10;21;151;17;125;29;1063
2009;16;32;3107;142;342;70;94;91;5;42;8;1487;1122;13;4;88;18;130;25;1077
2010;30;41;3917;156;337;63;87;92;3;44;9;1273;1030;24;5;124;13;128;24;1003
2011;79;37;5024;204;350;81;106;86;4;49;7;1309;995;21;1;103;14;98;29;1010
2012;60;31;6495;171;327;81;74;105;7;34;5;1337;1248;20;4;212;7;119;35;1048
2013;69;27;7294;66;341;81;35;93;1;42;5;1123;1349;19;2;194;17;115;33;1115
2014;59;39;8533;42;303;84;17;73;6;57;6;1063;1317;13;6;139;7;134;12;1211
2015;66;28;15658;52;340;79;42;88;1;68;4;980;1392;19;2;96;10;136;10;1131
2016;71;34;19520;46;398;71;21;77;5;63;8;879;1342;19;2;76;7;125;1;1140
2017;70;23;23843;42;420;85;20;65;1;51;6;938;1429;13;6;102;9;134;2;1147
2018;63;40;23023;46;386;84;15;58; ;62;15;966;1396;12;6;61;7;130; ;1130
2019;53;15;17741;38;282;98;13;39;2;69;7;430;802;4;2;74;3;79;1;905
