data_type,file_name,zip_name,download_date,table_name,description,number_of_rows,origin,data_last_updated,url
grant,application,application.tsv.zip,2021-11-04,"application
			zip: 76.6 MiB, tsv: 417.9 MiB",Information on the applications for granted patent,7811937,raw,"October 8, 2021",https://s3.amazonaws.com/data.patentsview.org/download/application.tsv.zip
grant,assignee,assignee.tsv.zip,2021-11-04,"assignee
			zip: 18.5 MiB, tsv: 38.7 MiB",Disambiguated assignee data for granted patents and pre-granted applications,530932,disamb,"October 8, 2021",https://s3.amazonaws.com/data.patentsview.org/download/assignee.tsv.zip
grant,botanic,botanic.tsv.zip,2021-11-04,"botanic
			zip: 624.5 KiB, tsv: 1.2 MiB",Botanic information for plant patents,17756,raw,"October 8, 2021",https://s3.amazonaws.com/data.patentsview.org/download/botanic.tsv.zip
grant,cpc_current,cpc_current.tsv.zip,2021-11-04,"cpc_current
			zip: 1.5 GiB, tsv: 4.0 GiB",Current CPC classification data for all patents (applied retrospectively to all patents),44759564,raw (from separate classification files),"October 8, 2021",https://s3.amazonaws.com/data.patentsview.org/download/cpc_current.tsv.zip
grant,cpc_group,cpc_group.tsv.zip,2021-11-04,"cpc_group
			zip: 21.5 KiB, tsv: 67.8 KiB",Lookup table of current CPC groups,672,raw (from separate classification files),"August 11, 2021",https://s3.amazonaws.com/data.patentsview.org/download/cpc_group.tsv.zip
grant,cpc_subgroup,cpc_subgroup.tsv.zip,2021-11-04,"cpc_subgroup
			zip: 5.4 MiB, tsv: 61.1 MiB",Lookup table of current CPC subgroups,260874,raw (from separate classification files),"August 11, 2021",https://s3.amazonaws.com/data.patentsview.org/download/cpc_subgroup.tsv.zip
grant,cpc_subsection,cpc_subsection.tsv.zip,2021-11-04,"cpc_subsection
			zip: 3.2 KiB, tsv: 7.9 KiB",Lookup table of current CPC subsections,136,raw (from separate classification files),"August 11, 2021",https://s3.amazonaws.com/data.patentsview.org/download/cpc_subsection.tsv.zip
grant,foreign_priority,foreign_priority.tsv.zip,2021-11-04,"foreign_priority
			zip: 124.9 MiB, tsv: 298.6 MiB",Foreign priority data,3627790,raw,"October 8, 2021",https://s3.amazonaws.com/data.patentsview.org/download/foreign_priority.tsv.zip
grant,figures,figures.tsv.zip,2021-11-04,"figures
			zip: 167.5 MiB, tsv: 297.1 MiB",Number of figures and sheets,7277551,raw,"October 8, 2021",https://s3.amazonaws.com/data.patentsview.org/download/figures.tsv.zip
grant,foreigncitation,foreigncitation.tsv.zip,2021-11-04,"foreigncitation
			zip: 1.1 GiB, tsv: 2.7 GiB",Citations made to foreign patents by US patents,32416755,raw,"October 8, 2021",https://s3.amazonaws.com/data.patentsview.org/download/foreigncitation.tsv.zip
grant,government_interest,government_interest.tsv.zip,2021-11-04,"government_interest
			zip: 4.9 MiB, tsv: 35.0 MiB",Raw government interest statements on all patents (where available),157250,raw,"October 8, 2021",https://s3.amazonaws.com/data.patentsview.org/download/government_interest.tsv.zip
