ipc_subclass_detail,records
G06F: Electric Digital Data Processing,81
"G01C: Measuring Distances, Levels Or Bearings",14
" G06Q: Data Processing Systems Or Methods, Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes",12
"G06Q: Data Processing Systems Or Methods, Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes",12
 G09B: Educational Or Demonstration Appliances,9
 G06F: Electric Digital Data Processing,8
 H04W: Wireless Communication Networks,6
G10L: Speech Analysis Or Synthesis,6
 G09G: Arrangements Or Circuits For Control Of Indicating Devices Using Static Means To Present Variable Information,5
 H04B: Transmission,3
